n_estimators,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std
0,1.9555636666666667,0.001334926298423346,1.9571333333333332,0.000805797465592698
1,1.7828099999999998,0.00132186938336077,1.7853706666666664,0.0007375750056021472
2,1.64586,0.001607905677167229,1.649457,0.0008771617106706762
3,1.5329556666666668,0.0015975173099392643,1.5373273333333335,0.0006297604482834231
4,1.4384709999999998,0.0010360627394130192,1.4436516666666668,0.0007036482707211862
5,1.3576666666666666,0.0012353737176345357,1.363638,0.0007956368518362958
6,1.2876403333333333,0.0011368272613823693,1.2942926666666665,0.001084930822167426
7,1.2255716666666665,0.0013749815352295711,1.232981,0.0015943130181993806
8,1.170946,0.001240594481152776,1.1790063333333334,0.0013692110461462261
9,1.1227933333333333,0.001086462864324234,1.1315876666666667,0.001206068636336887
10,1.079478,0.0008443249769293734,1.0888929999999999,0.0015980440127439006
11,1.0409136666666667,0.0007332313565459632,1.0509023333333334,0.0018350145019106194
12,1.0059483333333332,0.000848126300866905,1.0166373333333334,0.0016953765232406688
13,0.9746383333333334,0.000990190666263588,0.985869,0.001625163991725142
14,0.945891,0.0010567235526222996,0.9577026666666667,0.0017227161370605905
15,0.9194633333333333,0.001098205000089781,0.9318803333333333,0.0017422422972199231
16,0.8959073333333333,0.0008859233726582828,0.9088316666666666,0.0019268422065360925
17,0.8739833333333333,0.0006536320745564097,0.887379,0.0022669514036844068
18,0.854222,0.0006386647529546746,0.8683489999999999,0.002370703411788731
19,0.8359756666666667,0.0006802437471639021,0.8507110000000001,0.0024083788461674222
20,0.8192626666666666,0.0009019587327342471,0.8345073333333334,0.0021938520663182387
21,0.8039426666666666,0.0008540930212153941,0.8196436666666668,0.002193293768640124
22,0.7898106666666665,0.0008525398654739035,0.8059783333333334,0.002267251248146586
23,0.7765086666666665,0.00068000996724721,0.7932433333333333,0.0024196986497404195
24,0.7644106666666666,0.0005554489675528423,0.7816883333333333,0.0025203002907502226
25,0.7531156666666666,0.000623974536517484,0.7709583333333333,0.0025689335444023095
26,0.7430063333333333,0.0007228611361957562,0.7612903333333333,0.0026040755664065115
27,0.7331613333333333,0.0009127344752019872,0.751867,0.002461948144593341
28,0.7241886666666666,0.0011594597400897324,0.7434393333333333,0.002356199812315513
29,0.7157243333333333,0.0011951951955875546,0.7354026666666668,0.002306595952673293
30,0.7078443333333334,0.0013294232667673258,0.728009,0.0021104531898781375
31,0.7004423333333333,0.001242464575841987,0.7210723333333333,0.002224703176206248
32,0.6933020000000001,0.0010059542733146683,0.7142446666666666,0.002437340946377625
33,0.6868146666666667,0.0009761968153104455,0.708179,0.0024932807035443405
34,0.6806863333333334,0.0009902112008163524,0.7025566666666667,0.0025343492699748857
35,0.6747723333333333,0.0009197848782308743,0.6972933333333332,0.002614102820387046
36,0.669296,0.001038233435536876,0.692327,0.002504413703843644
37,0.6642899999999999,0.001199185001018051,0.6877566666666667,0.002467907930931685
38,0.6592096666666667,0.001147865361829902,0.6830823333333335,0.0024465998628481803
39,0.6544533333333333,0.0010122965090437583,0.678792,0.002621062507203262
40,0.6499386666666668,0.0011480453920565373,0.674691,0.002467924769247776
41,0.6459426666666667,0.001023802172731109,0.6711239999999999,0.002607716242231912
42,0.6420306666666666,0.0009340383051864179,0.6676913333333333,0.0026168622856815337
43,0.6383456666666666,0.0008609952897018871,0.6642883333333334,0.002605370009977241
44,0.6345883333333333,0.0007811326534092817,0.6609486666666666,0.0026688959431861435
45,0.6311463333333333,0.0007473050842118833,0.6580666666666666,0.0028424222455895026
46,0.6279276666666668,0.0006684695621758377,0.655288,0.0028982022013655
47,0.624816,0.0008545224787369246,0.652726,0.002988811469464078
48,0.621932,0.0007942195330427395,0.6501773333333333,0.0030883983263533385
49,0.6191953333333333,0.0010149431292223246,0.647859,0.0031012414718409862
50,0.6165196666666666,0.0011718806348012384,0.6454733333333333,0.0030065466716631887
51,0.6140253333333333,0.0010779042422940693,0.643482,0.003061525436771668
52,0.6117083333333334,0.001169588056634566,0.6415083333333332,0.0030218442860095863
53,0.6093916666666667,0.0010463056702300663,0.6396326666666666,0.002978280525553094
54,0.6070026666666667,0.0008777035692963386,0.6376686666666667,0.003079592325112012
55,0.6048076666666667,0.0007887362606656624,0.6359793333333332,0.003169459505271444
56,0.6026046666666667,0.0008046226168556131,0.6341593333333333,0.003112813768209636
57,0.6005683333333334,0.0007465374888257394,0.632637,0.003118693316118151
58,0.5986043333333333,0.0006091339936518493,0.6311956666666667,0.0031834786354273353
59,0.5967063333333333,0.0006740852237580394,0.629774,0.0030814739979431916
60,0.5948599999999999,0.0007100455384456895,0.6283506666666666,0.0030055262804078377
61,0.5931719999999999,0.0007050167846701769,0.6269733333333334,0.0030828023326548793
62,0.5913243333333333,0.00043713715111952606,0.6255526666666666,0.0032567298867967683
63,0.589871,0.0003854097386764497,0.6244323333333334,0.003229652647301599
64,0.5882973333333333,0.0004662233608713888,0.6232076666666666,0.003091047323409258
65,0.5869719999999999,0.0005627438730600815,0.6222759999999999,0.0030587403725499166
66,0.5855856666666667,0.0005357837457615,0.6212663333333334,0.003113526011168376
67,0.5841143333333333,0.0006656927886711986,0.6202016666666667,0.0029476708696113893
68,0.5828303333333333,0.00073655066960046,0.6193503333333333,0.0030027393419268804
69,0.5815973333333333,0.0007432277951984726,0.6184856666666667,0.003004907578538051
70,0.580436,0.0006176552436432729,0.617651,0.003108364307263011
71,0.5792566666666666,0.0006547169023495863,0.61689,0.003100444269240554
72,0.578012,0.0007557896532766373,0.6160359999999999,0.00306749376527484
73,0.5768216666666667,0.0008244045662712479,0.6152236666666666,0.0030709473384536337
74,0.5755203333333333,0.0008512893489029202,0.6143496666666667,0.0030444575141649628
75,0.5744253333333333,0.0007818330313365204,0.6136606666666666,0.003015022977616492
76,0.573364,0.0008044132437165655,0.613012,0.003021471937097317
77,0.5722203333333333,0.0007208237571617855,0.6122409999999999,0.0031549782883563524
78,0.571294,0.0007169397929161749,0.6116776666666667,0.003192548650982267
79,0.5703403333333333,0.0007859645171521532,0.6110886666666666,0.003109664969449641
80,0.5692976666666666,0.0008156430319420025,0.6105563333333334,0.0031399142592681414
81,0.5684203333333334,0.0007659548869802335,0.610106,0.0031262521757956124
82,0.567572,0.0008055213632590287,0.6096446666666666,0.0031134568497982354
83,0.5666733333333334,0.0008133491801735059,0.6091743333333334,0.003127259751852334
84,0.5656276666666668,0.000790728075186966,0.608627,0.0031456150431990377
85,0.5648453333333334,0.0008701135302680232,0.6082316666666667,0.003186111562530266
86,0.5639603333333333,0.0008832101800942875,0.607851,0.0031442373744147508
87,0.5631523333333334,0.0009228612511580043,0.6074223333333334,0.0030644560510617405
88,0.5623946666666667,0.0009928545826162975,0.6071163333333334,0.0030985046214083243
89,0.5615306666666666,0.0009353695645156773,0.6067220000000001,0.0031019925854198793
90,0.5607786666666666,0.0010192550656675445,0.6063766666666667,0.0030563579996823395
91,0.5600306666666667,0.00121538206155744,0.6060293333333333,0.0029781043560552977
92,0.559226,0.0010948692463790795,0.6056046666666667,0.0030741747221363987
93,0.5585163333333333,0.0011395713619115574,0.605261,0.0031653139917971465
94,0.5579396666666666,0.0010956162142323719,0.6049116666666666,0.0031311690397606315
95,0.5571716666666667,0.0011704991337981553,0.6045143333333333,0.003127675317050823
96,0.5565346666666667,0.0011721491183102949,0.6042876666666667,0.0031145681705316763
97,0.5557970000000001,0.0011888507055135067,0.6039863333333333,0.003073072548588613
98,0.5551183333333333,0.0010777854867994724,0.6036316666666667,0.0031691303048137563
99,0.5544093333333332,0.0009249368747229013,0.603254,0.003239596579822852
100,0.5537136666666667,0.0008687240963364072,0.602935,0.0032174096205902555
101,0.5530593333333333,0.0008672198234716512,0.6026643333333332,0.0032639788942672803
102,0.552344,0.0007905306234843995,0.6023563333333334,0.0032235555249169007
103,0.5517013333333333,0.000825794297765622,0.6020706666666666,0.0031924110359135074
104,0.5510436666666667,0.0008327790156391451,0.6017396666666667,0.0032340058063577196
105,0.5504403333333333,0.0008284983739003797,0.601455,0.00316366886172789
106,0.549612,0.0007086244891807634,0.6012230000000001,0.0032301492225592604
107,0.5490366666666667,0.0007707763762741128,0.6009373333333333,0.0031667904186345446
108,0.5483403333333334,0.000880435624500114,0.6008096666666667,0.0031358076400754818
109,0.5477843333333333,0.0007761633562308551,0.6006846666666666,0.003124187076487054
110,0.5472636666666667,0.0007374936534566983,0.6005983333333333,0.0031301282543833697
111,0.5468116666666667,0.0007827712877264054,0.600343,0.0031490729852873497
112,0.5462263333333334,0.000823767496863588,0.6001736666666667,0.003171153873417223
113,0.5457826666666666,0.0008458984703983028,0.599952,0.003141656038885654
114,0.5452466666666667,0.0008591524247122531,0.5997126666666667,0.003155018471507845
115,0.5446563333333333,0.0008867172917878623,0.5994963333333333,0.003078369951054559
116,0.5440263333333334,0.0009016541588781309,0.5992716666666666,0.0031630213755556896
117,0.5434323333333334,0.0009062495363983344,0.5991259999999999,0.0031730196973860994
118,0.5429683333333334,0.0008576189259934626,0.5989976666666667,0.0032306224718396817
119,0.5425033333333333,0.0008423144042194376,0.5988490000000001,0.003257766515063133
120,0.5419016666666666,0.0008228131960266501,0.598764,0.00326799306404812
121,0.5414053333333334,0.0008170117638212203,0.5985323333333333,0.0033182136090908272
122,0.5410493333333334,0.0008211870811345309,0.5984096666666666,0.0032973642335794666
123,0.5405276666666666,0.0009006076960709494,0.5982143333333333,0.0032581796894721703
124,0.5399726666666665,0.0009426509899686429,0.59807,0.0031941330592196635
125,0.5393426666666666,0.0008822714371942986,0.5979233333333334,0.003291478424997225
126,0.538841,0.0008763861401612047,0.597876,0.003194684021933955
127,0.5383886666666666,0.0008689305048289349,0.5978106666666666,0.0032261909773325897
